id,des_login,des_senha,datatime
1,professor,123,2023-02-05 12:50:20.527
2,Elis adf,amor da minha vida,2023-02-05 12:53:48.193
3,Elis adf,amor da minha vida,2023-02-05 12:54:33.270
4,Elis adf,amor da minha vida,2023-02-05 12:56:15.160
5,elis,linda,2023-02-05 13:01:24.347
6,elis,linda,2023-02-05 13:05:51.367
7,elis,linda,2023-02-05 13:10:16.723
8,elis,linda,2023-02-05 13:11:18.530
9,elis,linda,2023-02-05 13:11:35.603
10,elis,linda,2023-02-05 13:12:08.220
11,elis,linda,2023-02-05 13:12:22.157
12,elis,linda,2023-02-05 13:12:40.840
13,elis,linda,2023-02-05 13:12:54.940
